costF,latencyF,rank
0.207737459978655,0.29215887457919,1
0.262059765208111,0.252031696343678,1
0.235912486659552,0.26712862638729,1
0.169210245464248,0.32245303955147,1
0.164461045891142,0.329264368152363,1
0.208644610458911,0.289819472103749,1
0.258537886872999,0.254387816299962,1
0.140981856990395,0.385408982720394,1
0.240181430096051,0.262242942610978,1
0.210672358591249,0.279793162968272,1
0.262913553895411,0.251748544011903,1
0.240501600853789,0.261745597555904,1
0.18906083244397,0.293011466102173,1
0.267022411953042,0.25075176421665,1
0.208858057630736,0.281716718107748,1
0.185218783351121,0.294089743616534,1
0.164300960512273,0.332942213937782,1
0.224119530416222,0.270127324513469,1
0.244076840981857,0.258555693242585,1
0.145997865528282,0.368826286566877,1
0.163447171824973,0.333785401877791,1
0.205816435432231,0.292228879030219,1
0.220010672358591,0.278419195011504,1
0.27641408751334,0.247254676192844,1
0.268516542155816,0.247975617554191,1
0.277001067235859,0.246590156329343,1
0.293596584845251,0.243311440399046,1
0.250640341515475,0.255805667643943,1
0.178014941302028,0.31552573342723,1
0.181590181430096,0.310460336731858,1
0.148025613660619,0.339399340913318,1
0.171398078975454,0.320590085280049,1
0.235432230522946,0.267670899672128,1
0.219423692636073,0.278818324866626,1
0.176360725720384,0.319651816667746,1
