costF,latencyF
0.346370023419204,0.0406754257019238
0.307377049180328,0.0428912972429906
0.565690866510539,0.0269532570854582
0.430210772833724,0.0293422374414949
0.509016393442623,0.0282182516257697
0.631264637002342,0.0263294995345673
0.5692037470726,0.0264423510667559
0.411124121779859,0.0314312382575337
0.204918032786885,0.071613088870886
0.186533957845433,0.135792322528639
0.494964871194379,0.0285157882026086
0.375644028103044,0.0324498722152058
0.462997658079625,0.0290323746675621
0.361475409836066,0.0371701671160556
0.242388758782201,0.055220642714945
0.285128805620609,0.0536854148668996
0.296955503512881,0.0430216876170682
0.193793911007026,0.0831148118876043
0.549765807962529,0.0277711373897383
0.342740046838407,0.0428576897923599
0.492154566744731,0.0285898419156312
0.164519906323185,0.151585047218023
