costF,latencyF,rank
0.350791268758527,0.166751746397146,1
0.368744884038199,0.146374392214664,1
0.423942701227831,0.109548305374561,1
0.517298772169168,0.0760734690227752,1
0.461609822646658,0.0945017883674591,1
0.571268758526603,0.0664073887799379,1
0.598785811732606,0.0615226113747501,1
0.509440654843111,0.0801000499502244,1
0.424474761255116,0.108121869695664,1
0.507489768076398,0.0801185508439305,1
0.542414733969986,0.070947696359236,1
0.445102319236016,0.0999850682865919,1
0.35418826739427,0.160528476963979,1
0.387871759890859,0.123926222008134,1
0.459331514324693,0.0946959061231296,1
0.414611186903138,0.109838364866028,1
0.556166439290587,0.070081889820982,1
0.567694406548431,0.07002927553091,1
0.397039563437926,0.121324238604833,1
0.471432469304229,0.0925375923612446,1
0.649154160982265,0.0543096349357772,1
0.472796725784447,0.080862845329368,1
0.447339699863574,0.0961191432047702,1
0.369454297407913,0.131739960167213,1
0.350027285129604,0.168826197027331,1
0.537517053206003,0.0720622928858341,1
0.662755798090041,0.0528435934174976,1
0.327094133697135,0.170251310059037,1
0.365770804911323,0.148256855067831,1
0.427899045020464,0.1057858385483,1
0.435579809004093,0.104403990926906,1
0.525675306957708,0.0758540183420854,1
0.397162346521146,0.117520206748216,1
0.413424283765348,0.114827600315813,1
0.592128240109141,0.0632235830973725,1
0.469263301500682,0.0931613054322931,1
0.360231923601637,0.149670273521688,1
0.400218281036835,0.116967914656947,1
0.369440654843111,0.138984776655414,1
0.471950886766712,0.0870307998330959,1
0.587557980900409,0.0649847681139671,1
0.395293315143247,0.122815426423635,1
0.438581173260573,0.100556231881077,1
0.606057298772169,0.0607670253632033,1
0.359590723055935,0.154410470122305,1
0.614488403819918,0.0569487683662388,1
0.413233287858117,0.115067921068743,1
