costF,latencyF,rank
0.0703410641200546,1,1
0.130422919508868,0.378227748289025,1
0.215538881309686,0.206911301078268,1
0.134215552523874,0.351896536814436,1
0.281227830832196,0.160672087266381,1
0.317421555252387,0.143230754594379,1
0.259645293315143,0.171822806083921,1
0.345675306957708,0.135480303581695,1
0.313274215552524,0.145999670505494,1
0.169713506139154,0.271790299717179,1
0.343219645293315,0.136607743835792,1
0.264611186903138,0.167715280506942,1
0.198130968622101,0.226433085869027,1
0.205238744884038,0.22370786924617,1
0.19162346521146,0.232425394346305,1
0.295306957708049,0.153141801613008,1
0.26869031377899,0.165315652500024,1
0.20849931787176,0.211616201294141,1
0.308949522510232,0.146180886322548,1
0.255825375170532,0.17431102731526,1
0.301364256480218,0.152647447841014,1
0.275006821282401,0.160911221934565,1
0.182046384720327,0.248399992167634,1
0.274693042291951,0.161857285848359,1
0.183942701227831,0.247728748322895,1
0.306057298772169,0.148801403337977,1
0.196739427012278,0.230627913669039,1
0.146521145975443,0.326857396994399,1
0.328390177353342,0.140585736175382,1
0.165457025920873,0.278608092009214,1
0.322673942701228,0.142494390633341,1
0.23256480218281,0.193961663003353,1
0.337803547066849,0.137436977591811,1
0.22806275579809,0.194690803877061,1
0.148144611186903,0.315375031992046,1
0.188308321964529,0.24615432031854,1
0.291650750341064,0.153752437454463,1
0.284884038199181,0.159547140252177,1
0.173847203274216,0.271535737137891,1
0.22031377899045,0.204168434045889,1
0.326630286493861,0.141413206116894,1
0.25268758526603,0.177617744866018,1
0.337462482946794,0.138491604825071,1
0.177612551159618,0.254187630932419,1
0.233942701227831,0.191208418419257,1
0.332769440654843,0.138506343731598,1
0.238144611186903,0.188256130770839,1
0.159236016371078,0.292357961092547,1
0.220723055934516,0.202483752810875,1
0.242114597544338,0.188196675801307,1
0.224897680763984,0.201319576337618,1
0.332592087312415,0.140266225362367,1
0.245879945429741,0.183347062896173,1
0.237421555252387,0.189922206234676,1
0.153342428376535,0.30219628603209,1
0.267353342428377,0.167601310713976,1
0.152032742155525,0.309819131251617,1
0.323328785811733,0.141443144259457,1
0.293888130968622,0.153683737081583,1
0.161909959072306,0.289400932006142,1
0.250832196452933,0.178862864534779,1
0.156166439290587,0.30154231800989,1
0.302769440654843,0.148806548189624,1
0.189345156889495,0.242610520647585,1
0.288553888130969,0.15710912692449,1
0.286548431105048,0.158794537284262,1
0.247598908594816,0.182711430418408,1
0.24912687585266,0.179251234565469,1
0.226862210095498,0.198884426955828,1
0.243260572987722,0.185771165961954,1
0.208403819918145,0.220046236428436,1
0.205729877216917,0.22019008561314,1
0.163901773533424,0.284606295365753,1
0.157380627557981,0.29839318324974,1
0.177271487039563,0.262351498265327,1
0.162769440654843,0.286088732846289,1
0.288240109140518,0.157196384947716,1
0.175661664392906,0.268648071012234,1
0.225197817189632,0.199402219359553,1
0.174993178717599,0.271264386287477,1
0.197680763983629,0.228791199530572,1
0.152046384720327,0.307939118188453,1
0.156889495225102,0.300735394457165,1
0.301978171896316,0.151493936860578,1
0.242742155525239,0.188013817427489,1
0.30256480218281,0.150849651259395,1
0.175347885402456,0.270633945345695,1
0.243015006821282,0.186008774880716,1
0.205607094133697,0.22050000556761,1
0.212182810368349,0.208029633054744,1
0.118635743519782,0.402531498948559,1
0.125675306957708,0.381792285367104,1
0.114474761255116,0.415254161000659,1
0.131896316507503,0.369211553449576,1
0.125156889495225,0.393279892750896,1
0.36256480218281,0.129484552726483,1
0.352155525238745,0.133179867661052,1
0.348512960436562,0.133409456444471,1
0.113206002728513,0.423630667952039,1
0.120259208731241,0.394487095955482,1
0.14181446111869,0.330352974687246,1
0.359154160982265,0.132527424289822,1
0.117912687585266,0.41034695247684,1
0.133901773533424,0.360403412936833,1
0.131732605729877,0.371153485668378,1
0.132974079126876,0.369175060505802,1
0.130150068212824,0.378788278146302,1
0.13912687585266,0.340999107656944,1
0.134774897680764,0.348387967769227,1
0.130613915416098,0.375418292088027,1
0.10356070941337,0.504297295057971,1
0.109467939972715,0.428280453274445,1
0.105156889495225,0.463259942246849,1
0.107462482946794,0.432877561948954,1
