x
70.069
69.919
70.153
69.569
69.106
70.553
69.879
69.579
69.52
69.794
70.35
69.106
70.444
70.19
70.056
69.753
70.913
69.853
69.497
70.13
71.247
71.087
71.994
71.73
71.53
72.636
71.684
70.386
71.067
72
71.277
71.383
69.936
70.723
71.563
71.85
70.4570000000001
69.257
68.826
70.456
