costF,latencyF
0.334600397614314,0.0726765397890487
0.338027833001988,0.0699639627960414
0.352739562624254,0.0675593431224484
0.323244532803181,0.0743202879681397
0.319141153081511,0.0782704554451834
0.328787276341948,0.0740077658120109
0.321049701789264,0.0765351751803895
0.309614314115308,0.0827003769643139
0.364898608349901,0.0670128375368239
0.370783300198807,0.0641888608766232
0.342043737574553,0.0694354321743224
0.348675944333996,0.0689870338044055
0.331355864811133,0.0730122097369389
0.321510934393638,0.07603491124359
0.331809145129225,0.0727505578073565
0.35003578528827,0.0684969046876803
0.350600397614314,0.068408701843792
0.318178926441352,0.0807791004418036
0.337129224652088,0.0713565566990474
0.363403578528827,0.0672084881054869
0.330831013916501,0.0732678945276581
0.366719681908549,0.0666520291164996
