x
173.153
204.709
184.879
180.439
165.939
189.569
170.633
185.023
195.407
180.287
188.06
170.376
182.403
176.377
186.21
189.63
174.156
184
192.753
193.397
181.167
189.27
188.937
196.504
157.486
192.476
185.716
169.184
185.08
193.403
195.59
186.087
182.167
163.48
173.314
197.857
181.653
175.594
183.107
165.437
