costF,latencyF
0.242037470725995,0.516004388090705
0.593559718969555,0.253221399145364
0.353161592505855,0.350242183185486
0.342505854800937,0.397523089396095
0.552107728337237,0.276247596445971
0.417915690866511,0.342194541250034
0.50175644028103,0.278926354234518
0.268618266978923,0.515833556987503
0.321194379391101,0.425121786169358
0.584426229508197,0.272960405660252
0.296252927400468,0.461401845111008
0.278805620608899,0.484847847745969
0.300351288056206,0.442365021670093
0.428103044496487,0.318879369527425
0.485831381733021,0.296931303673451
0.453747072599532,0.30749568049491
0.483723653395785,0.304745511826547
0.283723653395785,0.478835213469664
0.311709601873536,0.430516902774705
0.45,0.314482580149589
0.422599531615925,0.331792142382882
0.587822014051522,0.258289169757122
0.242037470725995,0.516004388090705
0.353161592505855,0.350242183185486
0.342505854800937,0.397523089396095
0.552107728337237,0.276247596445971
0.417915690866511,0.342194541250034
0.50175644028103,0.278926354234518
0.268618266978923,0.515833556987503
0.321194379391101,0.425121786169358
0.584426229508197,0.272960405660252
0.296252927400468,0.461401845111008
0.278805620608899,0.484847847745969
0.300351288056206,0.442365021670093
0.428103044496487,0.318879369527425
0.485831381733021,0.296931303673451
0.587822014051522,0.258289169757122
0.453747072599532,0.30749568049491
0.483723653395785,0.304745511826547
0.283723653395785,0.478835213469664
0.311709601873536,0.430516902774705
0.45,0.314482580149589
0.422599531615925,0.331792142382882
0.593559718969555,0.253221399145364
