V1,V2
0.000904977375565611,1
0.104072398190045,0.209618747978262
0.356334841628959,0.0140613792783888
0.553846153846154,0.0139502567384887
0.153393665158371,0.0374115756304471
0.128733031674208,0.17190405188633
0.186651583710407,0.0320015793879274
0.319683257918552,0.0178396550845172
0.220814479638009,0.031807767731345
0.682579185520362,0.00572249027410016
0.295475113122172,0.0178815742528684
0.238914027149321,0.0253601665315187
0.795927601809955,0.00364489592339059
0.819909502262443,0.00354469488259283
0.866515837104072,0.00223078459760292
0.844117647058824,0.00252471911675046
0.283257918552036,0.02159735437981
0.592986425339367,0.0102141033641165
0.622171945701357,0.0100284456972002
0.707918552036199,0.005435302536431
0.892307692307692,0.00129031609437373
0.8789592760181,0.00141307937311659
0.745927601809955,0.00428070385395156
0.905656108597285,0.00117354126825248
0.721945701357466,0.00461415746970771
0.759502262443439,0.00420736485389508
0.670135746606335,0.00609374306534646
0.658597285067873,0.00636136279138132
0.733710407239819,0.0044234025820222
0.783484162895928,0.00384396897503091
0.917873303167421,0.000995631064192673
0.576923076923077,0.0133034334949462
0.263574660633484,0.0218824313051974
0.259954751131222,0.0236430676472416
0.646153846153846,0.00664427417972408
0.22420814479638,0.0297097532262652
0.591176470588235,0.013246511923748
0.63552036199095,0.00973021137525651
0.56447963800905,0.013886088045123
0.709502262443439,0.00477507954381094
0.623076923076923,0.00978625735024903
0.771945701357466,0.00392445346555232
0.831447963800905,0.00350867035298402
0.833257918552036,0.00350576994055241
0.929638009049774,0.00096639240517858
0.568099547511312,0.0138453728215548
0.770135746606335,0.00393678999066576
0.930542986425339,0.000722437230169297
0.637330316742081,0.00681054364494111
0.260633484162896,0.0230237553237715
0.916289592760181,0.00107641263199818
0.938461538461538,0.000668095540648722
