0.184190,1
0.181863,2
0.178557,3
0.174550,4
0.172109,5
0.169625,6
0.169400,7
0.169095,8
0.168874,9
0.168445,10
0.167868,11
0.167113,12
0.166054,13
0.165308,14
0.164787,15
0.163930,16
0.163641,17
0.162998,18
0.161817,19
0.161170,20
0.160597,21
0.159936,22
0.159765,23
0.159077,24
0.158996,25
0.158678,26
0.158454,27
0.158589,28
0.158641,29
0.158514,30
0.158107,31
0.158330,32
0.158344,33
0.158137,34
0.157994,35
0.158018,36
0.157908,37
0.157556,38
0.156894,39
0.156614,40
0.156429,41
0.156004,42
0.156273,43
0.155907,44
0.155702,45
0.155583,46
0.155525,47
0.155305,48
0.155376,49
0.155376,50
