0.184190,1
0.121361,2
0.120811,3
0.116454,4
0.109477,5
0.108264,6
0.107444,7
0.106577,8
0.106288,9
0.105990,10
0.105975,11
0.105732,12
0.105475,13
0.105266,14
0.105140,15
0.105078,16
0.104689,17
0.104618,18
0.104505,19
0.104487,20
0.104335,21
0.104304,22
0.104273,23
0.104074,24
0.103875,25
0.103706,26
0.103596,27
0.103486,28
0.103400,29
0.103370,30
0.103250,31
0.103243,32
0.103091,33
0.103021,34
0.102940,35
0.102753,36
0.102739,37
0.102604,38
0.102465,39
0.102339,40
0.102300,41
0.102215,42
0.102042,43
0.102032,44
0.101978,45
0.101972,46
0.101782,47
0.101645,48
0.101604,49
0.101597,50
