costF,latencyF
0.451856858846919,0.0584164639271337
0.457415506958251,0.0567160366797176
0.47544731610338,0.0536967775775369
0.447487077534791,0.0596926708432228
0.48175745526839,0.051812065803223
0.442023856858847,0.060813704267944
0.503745526838966,0.0487182487638257
0.50162226640159,0.0496049041245331
0.451996023856859,0.0583345900631231
0.437542743538767,0.0648291655619622
0.461475149105368,0.0542011751476435
0.448954274353877,0.0588860917610128
0.446365805168986,0.0598462659067634
0.500878727634195,0.0500943768099886
0.4759324055666,0.0522905091934544
0.491681908548708,0.0501012494965191
0.459769383697813,0.0565528848636063
0.484151093439364,0.0516957201589398
0.486497017892644,0.0507329727572148
0.51158648111332,0.0483370867616542
0.455101391650099,0.0576386412882428
0.46031013916501,0.0561530131974222
0.437797216699801,0.0627066307618086
0.47186083499006,0.0537616605647791
0.480528827037773,0.0519170447971927
0.485093439363817,0.0509250115262784
0.465121272365805,0.0539669817670729
0.461001988071571,0.05609738654435
0.508393638170974,0.0486289826371979
