cost,latency
0.227868852459016,0.386005698432529
0.225175644028103,0.37035765458268
0.201873536299766,0.400916345903457
0.286416861826698,0.339055880793371
0.207259953161593,0.379604294740709
0.226697892271663,0.380239457793797
0.219672131147541,0.371386102103131
0.271077283372365,0.346620551733808
0.214754098360656,0.379893915030118
0.217447306791569,0.374644782211294
0.224824355971897,0.394532803327062
0.190046838407494,0.408527481565062
0.249414519906323,0.353108730784217
0.23231850117096,0.390396875849144
0.227166276346604,0.378608293966507
0.244262295081967,0.362884692514802
0.236533957845433,0.368453401956668
0.222599531615925,0.389378450874292
0.217798594847775,0.374184057235489
0.237939110070258,0.377327018599807
0.251053864168618,0.377744625837565
0.269320843091335,0.339081785733188
0.261709601873536,0.341802750613076
0.218032786885246,0.399742969664019
0.237704918032787,0.370747472448483
0.219672131147541,0.376223499715883
0.209953161592506,0.398837047193591
0.228922716627635,0.374087864332162
0.218852459016393,0.371323559461474
0.199765807962529,0.391447930340415
0.229391100702576,0.37183685999826
0.207611241217799,0.400403860778108
0.226697892271663,0.363884554499168
1,1
0.258313817330211,0.354674109415069
0.239227166276347,0.376901819465957
0.216978922716628,0.368109140425071
0.232786885245902,0.377221106021659
0.229742388758782,0.394528346957987
0.214754098360656,0.392858983000782
0.224824355971897,0.386626957093823
0.202693208430913,0.393249369281645
0.236885245901639,0.365757919408013
0.254566744730679,0.355993437788844
0.226814988290398,0.396853511864483
0.220725995316159,0.389988973045733
0.287470725995316,0.341062803245633
0.205035128805621,0.389743080738775
0.257259953161593,0.344347076435308
1,1
