costF,latencyF,rank
0.196838407494145,0.387924678395139,1
0.227985948477752,0.357575555716262,1
0.264871194379391,0.32717977762819,1
0.228688524590164,0.356771338110111,1
0.152693208430913,0.465876110365189,1
0.200234192037471,0.382777539663662,1
0.215339578454333,0.362711692390117,1
0.202927400468384,0.378207398383882,1
0.202810304449649,0.38227221880072,1
0.268384074941452,0.323434414420403,1
0.273887587822014,0.319146142591162,1
0.187002341920375,0.395617461540983,1
0.229391100702576,0.355160645322459,1
0.231733021077283,0.352207427113631,1
0.253512880562061,0.334236209705146,1
0.239578454332553,0.345401397013333,1
0.207611241217799,0.369689274267379,1
0.24192037470726,0.336455404287541,1
0.258548009367682,0.330558246455742,1
0.240046838407494,0.345128888613862,1
0.237236533957845,0.351237934650589,1
0.299648711943794,0.310955047829001,1
0.178337236533958,0.40875082232963,1
0.200936768149883,0.382488986588362,1
0.200585480093677,0.382627845153709,1
0.222248243559719,0.361308144337741,1
0.188524590163934,0.388416008518376,1
0.188056206088993,0.389702931117749,1
0.196370023419204,0.38813578156065,1
0.178805620608899,0.39850955135522,1
0.176112412177986,0.411595063981751,1
0.166042154566745,0.412484755664857,1
0.237587822014052,0.349380818620599,1
0.285245901639344,0.3163952036784,1
0.225526932084309,0.358271192621828,1
0.15807962529274,0.435900024226854,1
0.157259953161592,0.449210711815119,1
0.155035128805621,0.450681087702811,1
0.352459016393443,0.301802103406127,1
0.161475409836066,0.425916829701971,1
0.195316159250585,0.388309291493392,1
0.198009367681499,0.384654421506279,1
