x
12.003
12.689
12.126
12.553
11.886
12.51
12.663
12.156
12.56
12.563
12.68
11.94
12.07
12.113
12.173
12.116
12.653
12.653
12.773
12.407
12.347
12.16
12.187
12.06
12.493
12.684
12.527
12.03
11.93
11.94
12.17
12.227
12.61
12.113
12.687
12.717
12.294
12.016
12.307
12.144
