0,0.153,0.151,0.177,0.344,0.15,0.219,0.147,0.259,0.137,0.127,0.125,0.13,0.13,0.129,0.13,0.13,0.13,0.131,0.129,0.13,0.13,0.126,0.123,0.13,0.13,0.165,0.094,0.047,0.048,0.127,0.066,0.127,0.074,0.065,0.065,0.127,0.066,0.12,0.061
0.153,0,0.361,0.393,0.558,0.297,0.481,0.245,0.534,0.514,0.239,0.129,0.129,0.129,0.13,0.12,0.129,0.131,0.13,0.129,0.132,0.118,0.129,0.131,0.129,0.062,0.185,0.256,0.047,0.048,0.25,0.066,0.244,0.069,0.063,0.062,0.229,0.067,0.223,0.06
0.151,0.361,0,0.636,0.851,0.448,1.228,0.372,0.7,0.4,0.592,0.211,0.2,0.191,0.233,0.2,0.211,0.207,0.201,0.189,0.191,0.202,0.207,0.2,0.2,0.198,0.572,0.433,0.158,0.137,0.429,0.14,0.49,0.174,0.144,0.167,0.632,0.14,9.614,0.205
0.177,0.393,0.636,0,0.425,0.102,0.13,0.291,0.335,0.338,0.255,0.208,0.151,0.157,0.069,0.242,0.168,0.2,0.07,0.24,0.239,0.121,0.149,0.13,0.073,0.138,0.221,0.35,0.358,0.217,0.358,0.131,0.312,0.116,0.108,0.123,0.154,0.071,0.195,0.093
0.344,0.558,0.851,0.425,0,0.201,0.366,0.196,0.376,0.27,0.301,0.126,0.069,0.16,0.069,0.14,0.085,0.123,0.071,0.127,0.069,0.182,0.128,0.07,0.169,0.143,0.233,0.323,0.079,0.061,0.246,0.062,0.189,0.143,0.048,0.103,0.172,0.088,0.216,0.12
0.15,0.297,0.448,0.102,0.201,0,0.949,0.379,0.629,0.388,0.599,0.216,0.222,0.221,0.219,0.217,0.213,0.22,0.22,0.22,0.209,0.21,0.211,0.219,0.219,0.22,0.564,0.636,0.132,0.132,0.52,0.158,0.486,0.149,0.142,0.141,0.788,0.158,0.649,0.133
0.219,0.481,1.228,0.13,0.366,0.949,0,0.257,0.407,0.246,0.301,0.221,0.22,0.219,0.154,0.214,0.213,0.218,0.227,0.202,0.21,0.209,0.209,0.22,0.22,0.22,0.424,0.629,0.133,0.132,0.524,0.157,0.489,0.157,0.141,0.142,0.778,0.158,0.651,0.132
0.147,0.245,0.372,0.291,0.196,0.379,0.257,0,0.719,0.509,0.588,0.148,0.207,0.15,0.209,0.209,0.21,0.209,0.21,0.21,0.202,0.209,0.211,0.209,0.209,0.211,0.486,0.495,0.167,0.169,0.592,0.154,0.613,0.183,0.175,0.182,0.732,0.154,0.555,0.155
0.259,0.534,0.7,0.335,0.376,0.629,0.407,0.719,0,0.521,0.589,0.149,0.209,0.209,0.21,0.209,0.21,0.21,0.21,0.21,0.21,0.21,0.211,0.209,0.211,0.209,0.416,0.494,0.167,0.168,0.591,0.154,0.619,0.19,0.176,0.176,0.731,0.154,0.551,0.154
0.137,0.514,0.4,0.338,0.27,0.388,0.246,0.509,0.521,0,2.515,0.195,0.19,0.189,0.191,0.189,0.19,0.189,0.19,0.189,0.19,0.19,0.13,0.19,0.189,0.19,0.515,1.207,0.372,0.348,0.91,0.6,1.595,1.38,0.41,0.365,1.122,0.134,1.227,0.661
0.127,0.239,0.592,0.255,0.301,0.599,0.301,0.588,0.589,2.515,0,0.197,0.191,0.189,0.19,0.19,0.19,0.19,0.191,0.189,0.19,0.19,0.19,0.191,0.189,0.19,0.434,0.244,0.123,0.128,0.262,0.133,0.264,0.137,0.133,0.132,0.26,0.134,0.238,0.12
0.125,0.129,0.211,0.208,0.126,0.216,0.221,0.148,0.149,0.195,0.197,0,0.069,0.034,0.096,0.069,0.069,0.07,0.071,0.07,0.068,0.07,0.07,0.064,0.066,0.071,0.141,0.245,0.034,0.034,0.111,0.038,0.194,0.086,0.063,0.064,0.132,0.038,0.124,0.039
