0,0.125,0.044,0.054,0.039,0.069,0.069,0.035,0.082,0.065
0.125,0,0.043,0.048,0.033,0.04,0.051,0.03,0.039,0.057
0.044,0.043,0,0.058,0.032,0.091,0.075,0.032,0.121,0.045
0.054,0.048,0.058,0,0.045,0.133,0.045,0.031,0.042,0.042
0.039,0.033,0.032,0.045,0,0.037,0.037,0.03,0.036,0.037
0.069,0.04,0.091,0.133,0.037,0,0.036,0.028,0.036,0.037
0.069,0.051,0.075,0.045,0.037,0.036,0,0.137,0.144,0.143
0.035,0.03,0.032,0.031,0.03,0.028,0.137,0,0.156,0.143
0.082,0.039,0.121,0.042,0.036,0.036,0.144,0.156,0,0.021
0.065,0.057,0.045,0.042,0.037,0.037,0.143,0.143,0.021,0
