costF,latencyF
0.623396998635743,0.0157344407575119
0.607012278308322,0.015965723850155
0.425920873124147,0.0285895366939899
0.442210095497954,0.0269965513159278
0.627489768076398,0.0153785654187625
0.484570259208731,0.0223740063247028
0.579795361527967,0.0183529558335025
0.655702592087312,0.0146260189839148
0.496384720327422,0.0220865898246412
0.680204638472033,0.0140190307349615
0.34206002728513,0.0651408908911416
0.657844474761255,0.0145050518646524
0.404229195088677,0.0310875779669484
0.434815825375171,0.0275304241199586
0.517121418826739,0.0214106195228164
0.416480218281037,0.0302647788162118
0.420995907230559,0.0294041139075547
0.534038199181446,0.0203611191407878
0.44549795361528,0.0267915784222345
0.537653478854025,0.0199653898302201
0.565893587994543,0.0192799941986011
0.403028649386085,0.0313118948364605
0.638540245566166,0.0147346457229311
0.585225102319236,0.0172961528763677
0.398840381991814,0.0325964604022312
0.433683492496589,0.0284869269180856
0.406166439290587,0.0307072984237754
0.393615279672578,0.0332196084949713
0.539536152796726,0.0196976760814176
0.505047748976808,0.0220166884097041
0.44600272851296,0.026652874342146
0.606316507503411,0.016191543091823
0.581391541609823,0.018158215514344
0.512496589358799,0.0219490218667801
0.567012278308322,0.0185226192442871
0.418103683492497,0.029801868804462
0.660272851296044,0.01409913482648
0.364406548431105,0.034454640626526
0.361841746248295,0.0366469678519715
0.425525238744884,0.0287781105602696
0.563683492496589,0.0193411803601361
0.400450204638472,0.0320693295866813
0.462046384720327,0.0258023074672336
0.52837653478854,0.0203641836810064
0.345156889495225,0.040927278445664
0.457298772169168,0.0259820390138094
0.466971350613915,0.0256792699147016
0.394515688949522,0.0326019466766713
0.388049113233288,0.033277251749034
0.467271487039563,0.0251358895615048
0.440777626193724,0.0272294638470286
0.638008185538881,0.0151255166160791
0.513246930422919,0.0215359218453148
0.472360163710778,0.0245868659696128
0.520600272851296,0.0208506383310209
0.470613915416098,0.0247886696802508
0.512551159618008,0.0216172667018974
0.609972714870396,0.0159428668648173
0.617339699863574,0.0157506753461821
0.628963165075034,0.0153190535426152
0.472919508867667,0.0240796471909954
0.412551159618008,0.0306957503392932
0.452987721691678,0.0265105152372602
0.623833560709413,0.0155859600466773
0.554884038199181,0.0196785563402489
0.600422919508868,0.0168847495637552
