0.300859,1
0.301044,2
0.297751,3
0.292185,4
0.290763,5
0.288635,6
0.284118,7
0.281591,8
0.280121,9
0.276568,10
0.274675,11
0.271589,12
0.269735,13
0.265503,14
0.261837,15
0.260177,16
0.259213,17
0.254226,18
0.249651,19
0.246958,20
0.242638,21
0.237974,22
0.230309,23
0.227195,24
0.220672,25
0.214776,26
0.203322,27
0.191167,28
0.177094,29
0.166337,30
0.153399,31
0.142133,32
0.128330,33
0.116516,34
0.103249,35
0.091355,36
0.079982,37
0.068921,38
0.058770,39
0.050148,40
0.041866,41
0.034531,42
0.028259,43
0.022999,44
0.017891,45
0.014112,46
0.010421,47
0.008356,48
0.006631,49
0.005144,50
