0.184190,1
0.186218,2
0.171624,3
0.176326,4
0.183339,5
0.185897,6
0.189022,7
0.192322,8
0.194387,9
0.198601,10
0.199384,11
0.204344,12
0.206607,13
0.208339,14
0.211981,15
0.214627,16
0.216823,17
0.219896,18
0.221114,19
0.224777,20
0.225835,21
0.229468,22
0.232078,23
0.234495,24
0.238118,25
0.239421,26
0.243336,27
0.245156,28
0.246874,29
0.248992,30
0.252014,31
0.256612,32
0.257110,33
0.259838,34
0.262504,35
0.265655,36
0.269439,37
0.271792,38
0.271071,39
0.272743,40
0.278295,41
0.280957,42
0.284042,43
0.282889,44
0.285646,45
0.288740,46
0.288836,47
0.293116,48
0.295711,49
0.297471,50
