costF,latencyF,alg
0.380327868852459,0.358871037125676,1
0.338290398126464,0.398707913083529,1
0.346018735362998,0.393718405780897,1
0.360772833723653,0.39343118418661,1
0.370608899297424,0.369815490600327,1
0.368266978922717,0.38932774187221,1
0.367915690866511,0.389877412792203,1
0.317447306791569,0.400809154888741,1
0.292388758782201,0.406047635287562,1
0.302107728337237,0.405341007198588,1
0.307728337236534,0.401515782977715,1
0.282669789227166,0.40876821129009,1
0.249297423887588,0.428702841255258,1
0.0723653395784543,0.637511204224156,1
0.0501170960187354,0.69492892174938,1
0.0626463700234192,0.652462057857705,1
0.0621779859484778,0.663687469758771,1
0.0692037470725995,0.643302490420379,1
0.279156908665105,0.411116945705275,1
0.267096018735363,0.417412230221346,1
0.306908665105386,0.404351054425618,1
0.0381733021077283,0.698516357140219,1
0.291569086651054,0.408499834381087,1
0.251405152224824,0.421608713119447,1
0.241217798594848,0.429564919740584,1
0.20480093676815,0.450860722229655,1
0.11768149882904,0.534923839475414,1
0.153747072599532,0.483881299714897,1
0.191686182669789,0.459109503634099,1
0.141686182669789,0.508852428908122,1
0.217213114754098,0.4450978554369,1
0.263817330210773,0.418700549784434,1
0.0949648711943794,0.576110255283902,1
0.229625292740047,0.435749633263448,1
0.129625292740047,0.534160957342305,1
0.166861826697892,0.482106521833538,1
0.276229508196721,0.413184851424094,1
0.179274004683841,0.463310242952137,1
0.196135831381733,0.452674202497007,1
0.0502341920374707,0.685535458645394,1
0.0505854800936768,0.66559887418684,1
0.0830210772833724,0.576556234829964,1
0.131147540983607,0.51321646403246,1
0.266042154566745,0.418190786834564,1
0.0969555035128806,0.560710934505217,1
0.0728337236533958,0.615686609448499,1
0.177049180327869,0.468155778718102,1
0.106674473067916,0.556027476172643,1
0.167330210772834,0.472482425212647,1
0.109367681498829,0.53782100698047,1
0.0825526932084309,0.589367574039185,1
0.0750585480093677,0.612545787358117,1
0.224004683840749,0.43909457796814,1
0.147306791569087,0.498835915376888,1
0.21943793911007,0.440908733407078,1
0.146487119437939,0.504871473385377,1
0.22728337236534,0.438437139407441,1
0.107845433255269,0.55351282596018,1
0.178571428571429,0.467866677646396,1
0.0747072599531616,0.614436337580795,1
0.0731850117096019,0.61497232124699,1
0.260772833723653,0.483275582482784,2
0.0117096018735363,0.727394247990535,2
0.00983606557377049,0.742600331973485,2
0.269555035128806,0.42622161148101,2
0.0148711943793911,0.679089020191562,2
0.0234192037470726,0.625888712765343,2
0.405386416861827,0.331637331526467,2
0.37271662763466,0.356664249588029,2
0.316744730679157,0.408493265149539,2
0.0128805620608899,0.716486722569382,2
0.0195550351288056,0.645494279995985,2
0.0154566744730679,0.659886569150365,2
0.351873536299766,0.369806620880856,2
0.426814988290398,0.328417959235885,2
0.00690866510538642,0.851946446530576,2
0.00925058548009368,0.844097772875109,2
0.458196721311475,0.299159058852364,2
0.362529274004684,0.366318128455772,2
0.22248243559719,0.531289136945671,2
0.429742388758782,0.32660931251015,2
0.263231850117096,0.465498091194146,2
0.395784543325527,0.353048014313236,2
0.248126463700234,0.527423440841221,2
0.348829039812646,0.381961116632562,2
0.346135831381733,0.405615027103852,2
0.502107728337236,0.278838637249251,2
0.338524590163934,0.408071586124041,2
0.350819672131148,0.371309067613149,2
0.442037470725995,0.313483125442285,2
0.528922716627635,0.270190555528885,2
0.0242388758782201,0.620503932162859,2
0.0332552693208431,0.602125207393469,2
0.0162763466042155,0.657101526254563,2
0.440866510538642,0.31365400692064,2
0.0131147540983607,0.683250362512909,2
0.0228337236533958,0.63572353991155,2
0.0204918032786885,0.64203967994421,2
0.396135831381733,0.339515934578299,2
0.0302107728337237,0.612229311544034,2
